qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg,participant,passed_practice,block_passed_practice,practice_score,Age,Gender,Year,Year_6_TEXT,Major,music_exp,headphone,test_corr
1067596379,oboe,3,0.125,2,jvjtjq3y1aad9h,1,1,12,19,Female,Sophomore,NA,Other (please specify):,32.2,1,5
1067596379,oboe,4,0.625,2,jvjtjq3y1aad9h,1,1,12,19,Female,Sophomore,NA,Other (please specify):,32.2,1,5
1067596379,oboe,5,1,2,jvjtjq3y1aad9h,1,1,12,19,Female,Sophomore,NA,Other (please specify):,32.2,1,5
1155580075,xylophone,1,0,4,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,xylophone,2,0,4,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,xylophone,3,0.5,4,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,xylophone,4,1,4,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,xylophone,5,0.875,4,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,trumpet,1,0,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,trumpet,2,0,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,trumpet,3,0.25,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,trumpet,4,1,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,trumpet,5,1,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,piano,1,0,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,piano,2,0,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,piano,3,0.375,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,piano,4,1,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,piano,5,1,3,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,violin,1,0.125,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,violin,2,0,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,violin,3,0.375,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,violin,4,0.875,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,violin,5,1,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,oboe,1,0,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,oboe,2,0,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,oboe,3,0.375,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,oboe,4,0.875,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1155580075,oboe,5,1,2,zs95hhwkeo7us3,1,1,12,20,Male,Sophomore,NA,Other (please specify):,36.1,1,6
1176432322,xylophone,1,0,4,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
